Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201407,Modoc,16273.0,7.0,0.0,6.0,0.0,1272000.0,-7.01,0.22,78.4,0,313
201407,Mendocino,12536.0,15.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201407,Yolo,6488.0,5.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201406,Monterey,4840.0,0.0,0.0,0.0,0.0,0.0,-6.77,0.06,71.9,25,151
201408,Mariposa,4772.0,0.0,0.0,0.0,0.0,0.0,-6.35,0.45,74.9,1,253
201407,Mariposa,5769.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201407,Napa,4300.0,4.0,0.0,9.0,0.0,5391000.0,-7.01,0.22,78.4,0,313
201407,Lake,4300.0,4.0,0.0,9.0,0.0,1570860.0,-7.01,0.22,78.4,0,313
201407,Amador,4240.0,2.0,0.0,67.0,0.0,16582500.0,-7.01,0.22,78.4,0,313
201407,Eldorado,4270.0,2.0,0.0,67.0,0.0,25805720.0,-7.01,0.22,78.4,0,313
201408,Kern,4045.0,0.0,0.0,0.0,0.0,0.0,-6.35,0.45,74.9,1,253
201406,Kern,3895.0,0.0,0.0,0.0,0.0,0.0,-6.77,0.06,71.9,25,151
201404,Sanbernardino,2143.0,3.0,0.0,0.0,1.0,99710.0,-5.53,1.06,57.7,217,22
201401,Losangeles,1952.0,0.0,0.0,0.0,0.0,0.0,-5.88,0.54,50.1,341,10
201407,Kern,1750.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201409,Shasta,1375.0,4.0,0.0,4.0,0.0,890200.0,-5.53,0.72,72.2,7,224
201409,Orange,968.0,0.0,0.0,0.0,0.0,0.0,-5.53,0.72,72.2,7,224
201401,Tehama,865.0,0.0,0.0,0.0,0.0,0.0,-5.88,0.54,50.1,341,10
201405,Mariposa,677.0,9.0,0.0,3.0,0.0,725010.0,-6.05,0.35,64.6,91,80
201405,Santabarbara,632.0,0.0,0.0,0.0,0.0,0.0,-6.05,0.35,64.6,91,80
201408,Madera,622.0,3.0,0.0,47.0,0.0,10052830.0,-6.35,0.45,74.9,1,253
201408,Trinity,580.0,2.0,0.0,1.0,0.0,298952.7027027027,-6.35,0.45,74.9,1,253
201409,Siskiyou,516.0,1.0,0.0,165.0,7.0,26117500.0,-5.53,0.72,72.2,7,224
201406,Tuolumne,756.0,0.0,0.0,0.0,0.0,0.0,-6.77,0.06,71.9,25,151
201410,Placer,459.0,2.0,0.0,10.0,0.0,3801700.0,-5.3,1.06,64.4,60,96
201409,Mendocino,465.0,3.0,0.0,11.0,0.0,3245000.0,-5.53,0.72,72.2,7,224
201403,Monterey,400.0,0.0,0.0,0.0,0.0,0.0,-5.59,3.28,53.5,300,10
201407,Butte,461.0,4.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201403,Riverside,407.0,0.0,0.0,0.0,0.0,0.0,-5.59,3.28,53.5,300,10
201401,Humboldt,351.0,0.0,0.0,0.0,0.0,0.0,-5.88,0.54,50.1,341,10
201409,Madera,320.0,4.0,0.0,69.0,2.0,14525000.0,-5.53,0.72,72.2,7,224
201410,Mariposa,311.0,0.0,0.0,0.0,0.0,0.0,-5.3,1.06,64.4,60,96
201409,Mariposa,379.0,3.0,0.0,0.0,0.0,0.0,-5.53,0.72,72.2,7,224
201407,Merced,300.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201408,Losangeles,464.0,0.0,0.0,0.0,0.0,0.0,-6.35,0.45,74.9,1,253
201409,Nevada,247.0,0.0,0.0,0.0,0.0,0.0,-5.53,0.72,72.2,7,224
201406,Tehama,225.0,0.0,0.0,0.0,0.0,0.0,-6.77,0.06,71.9,25,151
